Start date;Start time;End date;End time;Duration
29/06/2023;14:30:00;29/06/2023;14:53:27;00:23:27
30/06/2023;02:22:39;30/06/2023;09:56:00;07:33:21
01/07/2023;01:46:24;01/07/2023;07:42:20;05:55:56
03/07/2023;01:01:52;03/07/2023;09:39:39;08:37:47
03/07/2023;09:56:24;03/07/2023;10:55:19;00:58:55
03/07/2023;17:45:48;03/07/2023;19:00:29;01:14:41
03/07/2023;19:00:31;03/07/2023;19:26:32;00:26:01
04/07/2023;00:44:34;04/07/2023;02:34:13;01:49:39
04/07/2023;04:19:52;04/07/2023;08:01:18;03:41:26
05/07/2023;01:55:26;05/07/2023;07:48:43;05:53:17
05/07/2023;14:04:57;05/07/2023;14:57:30;00:52:33
05/07/2023;15:10:48;05/07/2023;15:25:43;00:14:55
05/07/2023;15:25:45;05/07/2023;18:03:10;02:37:25
06/07/2023;05:19:23;06/07/2023;07:30:00;02:10:37
07/07/2023;02:13:29;07/07/2023;08:15:05;06:01:36
07/07/2023;08:15:07;07/07/2023;09:13:09;00:58:02
07/07/2023;22:36:17;08/07/2023;08:34:02;09:57:45
09/07/2023;01:12:35;09/07/2023;08:11:34;06:58:59
10/07/2023;02:37:23;10/07/2023;10:13:10;07:35:47
11/07/2023;01:59:10;11/07/2023;08:03:24;06:04:14
12/07/2023;01:36:50;12/07/2023;10:09:01;08:32:11
13/07/2023;02:36:00;13/07/2023;09:20:38;06:44:38
14/07/2023;03:30:54;14/07/2023;09:02:58;05:32:04
15/07/2023;02:23:57;15/07/2023;11:30:14;09:06:17
16/07/2023;03:07:58;16/07/2023;11:47:00;08:39:02
17/07/2023;02:19:13;17/07/2023;09:06:22;06:47:09
18/07/2023;02:17:46;18/07/2023;09:56:42;07:38:56
19/07/2023;04:57:09;19/07/2023;09:13:57;04:16:48
19/07/2023;15:50:35;19/07/2023;17:51:18;02:00:43
20/07/2023;01:35:57;20/07/2023;07:35:58;06:00:01
20/07/2023;07:52:04;20/07/2023;09:22:40;01:30:36
20/07/2023;09:22:42;20/07/2023;11:07:00;01:44:18
21/07/2023;02:24:58;21/07/2023;09:32:40;07:07:42
22/07/2023;05:12:29;22/07/2023;08:12:55;03:00:26
23/07/2023;03:11:03;23/07/2023;05:26:00;02:14:57
23/07/2023;06:02:57;23/07/2023;07:20:39;01:17:42
23/07/2023;07:39:33;23/07/2023;11:51:56;04:12:23
24/07/2023;03:06:36;24/07/2023;13:31:31;10:24:55
25/07/2023;00:57:52;25/07/2023;09:14:58;08:17:06
26/07/2023;02:19:22;26/07/2023;07:57:24;05:38:02
27/07/2023;06:22:26;27/07/2023;14:51:59;08:29:33
28/07/2023;01:14:19;28/07/2023;08:25:26;07:11:07
29/07/2023;03:25:28;29/07/2023;10:17:38;06:52:10
31/07/2023;01:33:06;31/07/2023;10:52:35;09:19:29
31/07/2023;22:25:37;01/08/2023;08:57:22;10:31:45
02/08/2023;02:41:08;02/08/2023;09:46:56;07:05:48
03/08/2023;05:18:41;03/08/2023;08:34:48;03:16:07
04/08/2023;01:15:17;04/08/2023;08:14:30;06:59:13
05/08/2023;00:32:20;05/08/2023;08:10:34;07:38:14
06/08/2023;02:06:32;06/08/2023;09:10:05;07:03:33
07/08/2023;02:30:28;07/08/2023;10:03:25;07:32:57
08/08/2023;02:17:08;08/08/2023;08:00:06;05:42:58
09/08/2023;00:01:32;09/08/2023;08:40:11;08:38:39
10/08/2023;01:41:29;10/08/2023;08:00:58;06:19:29
10/08/2023;23:40:34;11/08/2023;07:25:49;07:45:15
12/08/2023;02:33:08;12/08/2023;08:14:16;05:41:08
13/08/2023;02:49:45;13/08/2023;02:50:12;00:00:27
13/08/2023;02:50:13;13/08/2023;09:54:33;07:04:20
14/08/2023;01:42:23;14/08/2023;07:02:24;05:20:01
15/08/2023;00:15:00;15/08/2023;09:15:00;09:00:00
16/08/2023;00:29:27;16/08/2023;07:58:38;07:29:11
17/08/2023;01:32:34;17/08/2023;08:05:28;06:32:54
17/08/2023;23:24:51;18/08/2023;08:11:17;08:46:26
19/08/2023;01:37:42;19/08/2023;08:08:58;06:31:16
20/08/2023;03:54:00;20/08/2023;08:33:00;04:39:00
20/08/2023;22:57:58;21/08/2023;07:03:27;08:05:29
21/08/2023;09:35:43;21/08/2023;12:21:35;02:45:52
21/08/2023;22:59:18;22/08/2023;08:03:26;09:04:08
23/08/2023;00:46:59;23/08/2023;08:21:12;07:34:13
23/08/2023;23:44:46;24/08/2023;08:52:54;09:08:08
24/08/2023;23:56:00;25/08/2023;08:59:59;09:03:59
25/08/2023;15:46:05;25/08/2023;17:22:56;01:36:51
26/08/2023;06:05:00;26/08/2023;10:02:29;03:57:29
27/08/2023;02:55:11;27/08/2023;12:23:02;09:27:51
27/08/2023;22:51:07;28/08/2023;09:11:21;10:20:14
28/08/2023;23:59:35;29/08/2023;10:53:12;10:53:37
30/08/2023;01:09:23;30/08/2023;09:43:14;08:33:51
31/08/2023;02:29:23;31/08/2023;08:13:03;05:43:40
01/09/2023;01:47:40;01/09/2023;07:40:15;05:52:35
02/09/2023;22:43:56;03/09/2023;09:31:42;10:47:46
03/09/2023;22:13:48;04/09/2023;09:24:21;11:10:33
05/09/2023;00:36:17;05/09/2023;06:54:40;06:18:23
06/09/2023;01:20:47;06/09/2023;06:41:04;05:20:17
